lcns_no,addr
19910313118,경기도 안산시 상록구 정재로 22(부곡쇼핑1층 108~110호 부곡동)
19910348088,경기도 용인시 처인구 포곡읍 에버랜드로 199
19910350081,"경기도 용인시 기흥구 공세로 173(공세동,외18필지)"
19910368085,경기도 광주시 오포로 113(1층 능평동)
19910375039,경기도 여주시 가남읍 솔모로그린길 171
19910403039,강원특별자치도 고성군 토성면 미시령옛길 1153
19910441057,충청북도 영동군 상촌면 민주지산로 3008
19910513091,전남광주통합특별시 광양시 광양읍 서북로 23(2층중1층전부)
19910525004,전남광주통합특별시 무안군 무안읍 불무로 20(1층)
19910536011,경상북도 포항시 북구 중앙상가2길 16-1(1층 남빈동)
19910536032,경상북도 포항시 북구 죽도로40번길 32(죽도동)
19910554083,경상북도 영주시 번영로 81(휴천동)
19910627408,제주특별자치도 제주시 중앙로14길 11(1층 제1호 삼도이동)
19920029298,서울특별시 중구 남대문시장4길 28-4(남창동)
19920029836,"서울특별시 중구 다산로42나길 46(신당동, 신당동파라다이스아파트 상가 106호, 113호)"
19920029988,서울특별시 중구 수표로2길 7(1층 충무로3가)
19920066139,"서울특별시 서대문구 경기대로 84(냉천동, 101호)"
19920066593,서울특별시 서대문구 증가로10길 46(남가좌동)
19920084369,서울특별시 금천구 시흥대로52길 49(지상1층 시흥동)
19920086399,서울특별시 영등포구 63로 50(63한화생명빌딩 58층 여의도동)
19920086446,서울특별시 영등포구 국제금융로 20(율촌빌딩 지하1층 여의도동)
19920099051,"서울특별시 서초구 방배로 254(1층 106호, 107호 방배동)"
19920114462,"서울특별시 송파구 올림픽로43길 88(지상1층 풍납동, 영안실동)"
19920141140,부산광역시 해운대구 아랫반송로21번길 106(반송동)
19920214053,전남광주통합특별시 동구 의재로 48(학동)
19920227093,전남광주통합특별시 광산구 사암로 331(월곡동)
19920252023,울산광역시 동구 대송로 19(일산동)
19920267078,경기도 수원시 팔달구 효원로291번길 14-5(인계동)
19920285098,경기도 의정부시 범골로 111(의정부동)
19920304004,경기도 광명시 기아로 20(대신빌딩 1층 일부호 소하동)
19920313113,"경기도 안산시 상록구 예술광장로 19(현대쇼핑1층 1,2,8,9,10,11,14,15,16,17호 월피동)"
19920342059,"경기도 군포시 군포로 364(안양골프장 클럽하우스 지하1층일부, 2층 부곡동)"
19920348033,경기도 용인시 처인구 포곡읍 에버랜드로 199
19920375029,경기도 여주시 가남읍 금강그린길 84
19920389030,강원특별자치도 동해시 한섬로 113(1층 천곡동)
