addr,lat,lng
강원특별자치도 강릉시 금성로23번길 12(성남동),37.753087,128.898666
강원특별자치도 강릉시 금성로23번길 14 (성남동),37.752936,128.898826
강원특별자치도 강릉시 금성로23번길 17 (성남동),37.752790,128.899221
강원특별자치도 강릉시 금성로23번길 4,37.753752,128.898073
강원특별자치도 강릉시 금성로23번길 4-10(성남동),37.753599,128.897807
강원특별자치도 강릉시 금성로23번길 4-6(성남동),37.753702,128.897992
강원특별자치도 강릉시 금성로35번길 4 (성남동),37.753048,128.897079
강원특별자치도 강릉시 금성로45번길 12(성남동),37.751596,128.896909
"강원특별자치도 강릉시 금성로45번길 14, 2층(성남동)",37.751834,128.897051
강원특별자치도 강릉시 금성로45번길 8-1(성남동),37.751964,128.896505
강원특별자치도 강릉시 금성로56번길 5,37.752320,128.894832
강원특별자치도 강릉시 금성로56번길 6 (금학동),37.752464,128.895115
강원특별자치도 강릉시 금성로5번길 1-3,37.754992,128.899857
강원특별자치도 강릉시 금성로61번길 9,37.751340,128.895693
강원특별자치도 강릉시 난곡길 219,37.801850,128.874687
강원특별자치도 강릉시 난설헌로 105,37.785335,128.903688
강원특별자치도 강릉시 난설헌로 105 (포남동),37.785335,128.903688
강원특별자치도 강릉시 난설헌로 105 라동,37.785335,128.903688
강원특별자치도 강릉시 난설헌로 140 (포남동),37.786900,128.907728
강원특별자치도 강릉시 난설헌로 142 (포남동),37.787061,128.907937
강원특별자치도 강릉시 난설헌로 144 (포남동),37.787224,128.908058
강원특별자치도 강릉시 난설헌로 145 (포남동),37.787849,128.907489
강원특별자치도 강릉시 난설헌로 168,37.789258,128.909605
강원특별자치도 강릉시 난설헌로 168 (초당동),37.789258,128.909605
강원특별자치도 강릉시 난설헌로 178 (초당동),37.789768,128.910085
강원특별자치도 강릉시 난설헌로 200,37.790745,128.912012
강원특별자치도 강릉시 난설헌로 200 (초당동),37.790745,128.912012
강원특별자치도 강릉시 난설헌로 201 (초당동),37.791214,128.911799
강원특별자치도 강릉시 난설헌로 201 1층,37.791214,128.911799
강원특별자치도 강릉시 난설헌로 203-18 (초당동),37.792544,128.912644
강원특별자치도 강릉시 난설헌로 228-13,37.791455,128.914617
강원특별자치도 강릉시 난설헌로 228-34 1층,37.789828,128.914641
강원특별자치도 강릉시 난설헌로 228-35 (초당동),37.789769,128.915119
강원특별자치도 강릉시 난설헌로 228-5 (초당동),37.792399,128.914406
강원특별자치도 강릉시 난설헌로 232,37.792853,128.914531
강원특별자치도 강릉시 난설헌로 232 (초당동),37.792853,128.914531
강원특별자치도 강릉시 난설헌로 73,37.783419,128.901862
"강원특별자치도 강릉시 난설헌로 73, 1층 (포남동)",37.783419,128.901862
강원특별자치도 강릉시 난설헌로193번길 1-19 (초당동),37.791087,128.910499
강원특별자치도 강릉시 난설헌로219번길 20-8 (강문동),37.794362,128.914596
강원특별자치도 강릉시 난설헌로219번길 34,37.795071,128.913278
강원특별자치도 강릉시 난설헌로78번길 11,37.782472,128.903204
강원특별자치도 강릉시 난설헌로78번길 38-5 (포남동),37.779802,128.902130
강원특별자치도 강릉시 난설헌로78번길 42-3,37.779978,128.902295
강원특별자치도 강릉시 난설헌로88번길 5(포남동),37.784116,128.904038
강원특별자치도 강릉시 남강초교1길 24 (포남동),37.769006,128.918116
강원특별자치도 강릉시 남구길 10 (포남동),37.764164,128.906658
강원특별자치도 강릉시 남구길 21 (포남동),37.764742,128.905402
강원특별자치도 강릉시 남구길 29 (포남동),37.765288,128.904779
강원특별자치도 강릉시 남구길10번길 11,37.765004,128.907281
강원특별자치도 강릉시 남구길18번길 15,37.765850,128.907007
강원특별자치도 강릉시 남구길18번길 25 (포남동),37.766368,128.907668
강원특별자치도 강릉시 남구길18번길 36,37.766882,128.908712
강원특별자치도 강릉시 남구길18번길 36 (포남동),37.766882,128.908712
강원특별자치도 강릉시 남구길18번길 39(포남동),37.767308,128.908769
강원특별자치도 강릉시 남구길23번길 9 (포남동),37.764366,128.904624
강원특별자치도 강릉시 남문길1번길 1 (남문동),37.751054,128.894126
강원특별자치도 강릉시 남부로 137 (노암동),37.742554,128.895261
강원특별자치도 강릉시 남부로 170 (노암동),37.742663,128.898770
강원특별자치도 강릉시 남부로 35,37.740210,128.884307
강원특별자치도 강릉시 남부로 54-6 (내곡동),37.739836,128.886140
강원특별자치도 강릉시 남부로125번길 26 (내곡동),37.744267,128.893090
강원특별자치도 강릉시 남부로17번길 10 1층,37.740640,128.882275
강원특별자치도 강릉시 남부로17번길 11 (내곡동),37.740633,128.881899
강원특별자치도 강릉시 남부로17번길 16 1층,37.741077,128.882288
