name,addr,kind
수림복국 선릉 삼성 본점 역삼 포스코사거리 점심 코스,서울 강남구 테헤란로77길 11-13 1층,음식점
류몽민 학동역점,서울 강남구 학동로25길 11 씨플레이스 2층 101호,음식점
씨엘드프랑스,서울 강남구 학동로68길 7 1층,카페
타르데마 베이커리 우장산,서울 강서구 강서로46길 9,카페
정면,서울 광진구 능동로13길 88,음식점
라마노피자,서울 구로구 디지털로34길 55 코오롱싸이언스밸리2차 지하1층 B119호,음식점
아로가 독산본점,"서울 금천구 범안로 1212 1층 118호, 119호",음식점
장자방,"서울 노원구 공릉로 101 1층(공릉동, 경동상가)",음식점
대디스파스타,서울 노원구 공릉로39길 21 서로퍼스트빌 104호 대디스파스타,음식점
구디스,서울 노원구 동일로184길 52 2층,음식점
수락이오냉면 노원본점,서울 노원구 동일로237다길 7 창일빌딩 1층 수락이오냉면,음식점
무수옥 도봉본점,서울 도봉구 도봉로165길 15,음식점
카츠디나인 신대방삼거리 본점,서울 동작구 국사봉1길 12-5 1층,음식점
가네끼스시,서울 동작구 보라매로5가길 16 보라매아카데미타워 2층,음식점
곱 마포직영점,서울 마포구 도화길 31-1,음식점
니시무라멘 연남본점,서울 마포구 동교로 265,음식점
황금콩밭,서울 마포구 마포대로16길 9,음식점
유어다이닝,서울 마포구 망원로6길 56 101호 유어다이닝,음식점
상암 곱,서울 마포구 매봉산로2안길 12-6,음식점
교다이야,서울 마포구 성지길 39,음식점
합정옥,서울 마포구 양화로1길 21,음식점
옥동식,서울 마포구 양화로7길 44-10,음식점
진어참치,서울 마포구 연남로3길 34,음식점
진진,서울 마포구 월드컵북로1길 60,음식점
락희안 가좌본점,"서울 서대문구 가재울로4길 53 1, 2층",음식점
블루레시피,서울 서대문구 연희맛로 17-16 2층,음식점
송강,서울 서초구 명달로9길 5 정호빌딩1층,음식점
평안면옥,서울 서초구 반포대로28길 31,음식점
3대삼계장인,서울 서초구 반포대로28길 56-3,음식점
조양관한정식 강남본점,서울 서초구 서초대로74길 29 지하1층 조양관,음식점
고메정식당 교대본점,서울 서초구 서초중앙로22길 42 동진빌딩 1층,음식점
르빵 신세계백화점 강남점,서울 서초구 신반포로 176 신세계백화점 강남점 지하1층,카페
